Topic,Packages,Compliance,Viz
CNV,oncoscanR,,
CNV,SCOPE,,
CNV,ZygosityPredictor,,
Splicing,OutSplice,,
Splicing,psichomics,,
Ancestry,RAIDS,,
Clonal Evolution,CIMICE,,
Clonal Evolution,LACE,,
Clonal Evolution,OncoSimulR,,
Clonal Evolution,TRONCO,,
Clonal Evolution,CancerInSilico,,
Biomarkers,INDEED,,
Biomarkers,iPath,,
Biomarkers,RLassoCox,,
HotSpots/Drivers/signatures,,,
HotSpots/Drivers/signatures,compSPOT,,
HotSpots/Drivers/signatures,MoonlightR,,
HotSpots/Drivers/signatures,Moonlight2R,,
HotSpots/Drivers/signatures,DriverNet,,
HotSpots/Drivers/signatures,genefu,,
HotSpots/Drivers/signatures,mastR,,
HotSpots/Drivers/signatures,pathifier,,
HotSpots/Drivers/signatures,RESOLVE,,
HotSpots/Drivers/signatures,macat,,
HotSpots/Drivers/signatures,SigCheck,,
HotSpots/Drivers/signatures,signeR,,
HotSpots/Drivers/signatures,signifinder,,
HotSpots/Drivers/signatures,supersigs,,
SpecificCancers,consensusOV,,
SpecificCancers,PDATK,,
SpecificCancers,STROMA4,,
RecurrentFusion,copa,,
RecurrentFusion,oppar,,
DrugSensitivity,DepInfer,,
DrugSensitivity,octad,,
DrugSensitivity,PharmacoGx,,
DrugSensitivity,rcellminer,,
ImmuneModulation,easieR,,
ceRNA,GDCRNATools,,
epigenetics,MethylMix,,
ncRNA,NoRCE,,
subtyping,SCFA,,
Radiomics,RadioGx,,
Proteomics,HPAStainR,,
DataSupport,stjudem,,
DataSupport,GeoTcgaData,,
Infrastructure,Uniquorn,,
Infrastructure,maftools,,
Infrastructure,ORFhunteR,,
Infrastructure,sevenbridges,,
LitMining,OncoScore,,
